company_name,department,employment_type,experience_level,job_description,job_title,job_url,location,posted_date,required_skills,salary
Stripe,Infrastructure & Corporate Tech,Intern,Not specified,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,AV Builds and Operations,https://stripe.com/jobs/listing/av-builds-and-operations/7555995,Bengaluru,2026-03-20,Scala Rest Api,Not specified
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Enterprise - Billing (Existing Business),https://stripe.com/jobs/listing/account-executive-enterprise-billing-existing-business/7490597,Dublin HQ or London,2026-03-20,Rest Api,$100
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Product - BNPLs,https://stripe.com/jobs/listing/account-executive-product-bnpls/7675661,Remote in United States,2026-03-20,Rest Api,$262 900 - $394 300.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive SMB - Existing Business (French-speaking),https://stripe.com/jobs/listing/account-executive-smb-existing-business-french-speaking/7555127,Dublin HQ,2026-03-20,Rest Api,€112 000 - €168 000.
Stripe,Administrative,Intern,Not specified,Help increase the GDP of the internet as part of our Administrative team.,Administrative Business Partner,https://stripe.com/jobs/listing/administrative-business-partner/7680368,South San Francisco HQ,2026-03-20,React Rest Api,$173 600 - $260 400.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Marketplace,https://stripe.com/jobs/listing/account-executive-marketplace/7542218,London,2026-03-20,Rest Api,£200 000 - £300 000.
Stripe,Unknown,Intern,Not specified,We support your success with comprehensive benefits and learning opportunities. Join us in building a welcoming culture for global impact.,Benefits - Stripe,https://stripe.com/jobs/benefits,before,2026-03-20,Rest Api,Not specified
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Platforms (Existing Business),https://stripe.com/jobs/listing/account-executive-platforms-existing-business/7576967,Chicago South San Francisco HQ or New York,2026-03-20,Api Rest,$283 600 - $425 400.
Stripe,Payments,Intern,Not specified,Help increase the GDP of the internet as part of our Payments team.,AI/ML Engineering Manager Payment Intelligence,https://stripe.com/jobs/listing/ai-ml-engineering-manager-payment-intelligence/7286376,Seattle,2026-03-20,Scala Rest Api,$1.4
Stripe,Revenue & Financial Automation,Intern,Not specified,Help increase the GDP of the internet as part of our Revenue & Financial Automation team.,Backend Engineer Forward Deployed Engineering,https://stripe.com/jobs/listing/backend-engineer-forward-deployed-engineering/7249744,Toronto,2026-03-20,Rest Scala Api,$135 200
Stripe,Sales,Contract,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Mid-Market - Existing Business,https://stripe.com/jobs/listing/account-executive-mid-market-existing-business/7483552,Dublin HQ,2026-03-20,Rest Api,€133 300 - €199 900.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Product - BNPLs,https://stripe.com/jobs/listing/account-executive-product-bnpls/7536063,Dublin HQ or London,2026-03-20,Rest Api,€120 000 - €180 000.
