company_name,department,employment_type,experience_level,job_description,job_title,job_url,location,posted_date,required_skills,salary
Stripe,Security,Intern,Not specified,Help increase the GDP of the internet as part of our Security team.,Backend / API Engineer Privacy Products,https://stripe.com/jobs/listing/backend-api-engineer-privacy-products/7579264,Seattle or South San Francisco HQ,2026-03-18,Not available,$190 400 - $285 600.
Stripe,Infrastructure & Corporate Tech,Intern,Not specified,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,Backend Engineer Core Tech Canada,https://stripe.com/jobs/listing/backend-engineer-core-tech-canada/6567253,Toronto,2026-03-18,Not available,$135 200
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Platforms (Grower),https://stripe.com/jobs/listing/account-executive-platforms-grower/7577015,South San Francisco HQ,2026-03-18,Not available,$262 900 - $394 300.
Stripe,Revenue & Financial Automation,Contract,Not specified,Help increase the GDP of the internet as part of our Revenue & Financial Automation team.,Backend Engineer Billing/Tax,https://stripe.com/jobs/listing/backend-engineer-billing-tax/7217048,Toronto,2026-03-18,Not available,$135 200
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive AI Sales,https://stripe.com/jobs/listing/account-executive-ai-sales/7532733,South San Francisco HQ,2026-03-18,Not available,$375 800 - $563 600.
Stripe,Infrastructure & Corporate Tech,Intern,Not specified,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,Backend Engineer Core Technology,https://stripe.com/jobs/listing/backend-engineer-core-technology/6623777,Bucharest,2026-03-18,Not available,Not specified
Stripe,Payments,Intern,Not specified,Help increase the GDP of the internet as part of our Payments team.,Backend Engineer/API Payments and Risk,https://stripe.com/jobs/listing/backend-engineer-api-payments-and-risk/4921361,Dublin HQ,2026-03-18,Not available,€85 000 - €159 600.
Stripe,Payments,Intern,Not specified,Help increase the GDP of the internet as part of our Payments team.,AI/ML Engineering Manager Payment Intelligence,https://stripe.com/jobs/listing/ai-ml-engineering-manager-payment-intelligence/7286376,Seattle,2026-03-18,Not available,$1.4
Stripe,Sales,Contract,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Startup SaaS Platforms - Existing Business,https://stripe.com/jobs/listing/account-executive-startup-saas-platforms-existing-business/7451383,Dublin HQ,2026-03-18,Not available,€133 300 - €199 900.
Stripe,Sales,Intern,Not specified,Help increase the GDP of the internet as part of our Sales team.,Account Executive Platforms - Strategics,https://stripe.com/jobs/listing/account-executive-platforms-strategics/7604080,New York or South San Francisco HQ,2026-03-18,Not available,$312 000 - $468 000.
Stripe,Terminal,Intern,Not specified,Help increase the GDP of the internet as part of our Terminal team.,Android Engineer Terminal Developer Productivity,https://stripe.com/jobs/listing/android-engineer-terminal-developer-productivity/7550154,Seattle or South San Francisco HQ,2026-03-18,Not available,$190 400 - $285 600.
Stripe,Infrastructure & Corporate Tech,Intern,Not specified,Help increase the GDP of the internet as part of our Infrastructure & Corporate Tech team.,Backend Engineer Core Technology,https://stripe.com/jobs/listing/backend-engineer-core-technology/7182617,Dublin HQ,2026-03-18,Not available,€85 000 - €159 600.
